Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C17, C18, C2, C29, C30, C4, C42, C6, C7, C8, C9",0402,16,100nF,C1525
"C14, C19, C3, C31, C5",0402,5,1uF,C52923
"C24, C25",0402,2,15pF,C1548
"C26, C27, C28",0402,3,10uF,C15525
D3,Nexperia_CFP3_SOD-123W,1,MBR120VLSFT1G,C8598
J1,PinHeader_1x08_P2.54mm_Vertical,1,SPI Display,
J2,Atari 5200 Cartridge Edge Connector,1,Conn_02x18,
J3,TE_1-1734839-0_1x10-1MP_P0.5mm_Horizontal,1,FFC SPI display,C262659
J8,USB_Micro-B,1,USB_B_Micro,C2765187
J9,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SM03B-SRSS-TB,C160389
Q2,SOT-23,1,DMG2305UX,C150470
"R11, R33",0402,2,10k,C25744
"R26, R28",0805,2,27,C17561
"R30, R31, R32",0402,3,1k,C11702
"SW2, SW3",Tactile_Switch_Basic_XKB_TS-1187A,2,SW_TACTILE,C318884
"U1, U2, U5",TSSOP-24_4.4x7.8mm_P0.65mm,3,SN74LVC8T245,C27643
U4,SOT-223-3_TabPin2,1,NCP1117-3.3,C6186
U7,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U9,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C9002
